donutstrack,trackname,length,BPM
1,Donuts (Outro),12,97
2,Workinonit,177,92
3,Waves,98,90
4,Light My Fire,35,98
5,The New,49,88
6,Stop,99,86
7,People,84,98
8,The Diff'rence,112,96
9,Mash,91,102
10,Time: The Donut of the Heart,98,95
11,Glazed,81,98
12,Airworks,103,93
13,Lightworks,115,96
14,Stepson of the Clapper,63,98
15,"The Twister (Huh, What)",76,100
16,One Eleven,71,88
17,Two Can Win,107,93
18,Don't Cry,119,97
19,Anti-American Graffiti,113,91
20,Geek Down,79,92
21,Thunder,54,95
22,Gobstopper,65,87
23,One for Ghost,78,86
24,Dilla Says Go,76,100
25,Walkinonit,75,96
26,The Factory,83,96
27,U-Love,60,89
28,Hi.,76,85
29,Bye.,87,88
30,Last Donut of the Night,99,81
31,Welcome to the Show,72,91
